experiment_id,dataset_size,extreme_value_ratio,repetition,final_bias,training_iterations,convergence_status,execution_time,dataset_mean,extreme_value_count,iqr_threshold,statistical_validation_passed,final_weight_0,training_final_loss,training_final_mae,training_initial_loss,training_loss_improvement,training_initial_weight,training_final_weight,training_weight_change,training_weight_std
exp_10_50_10,10,0.5,10,0.4844995141029358,50,converged,2.981274127960205,4.999999999999999,3,10.662157565464161,True,2.0692672729492188,0.08995544165372849,0.2591899037361145,173.3423614501953,173.25240600854158,1.59817373752594,2.0692672729492188,0.4710935354232788,0.06910292059183121
exp_10_75_01,10,0.75,1,0.5038015842437744,50,converged,2.9177682399749756,5.0,4,13.173155076821086,True,2.0590529441833496,0.10277332365512848,0.2704980969429016,200.2791748046875,200.17640148103237,1.788712978363037,2.0590529441833496,0.2703399658203125,0.04047245904803276
exp_10_75_02,10,0.75,2,0.5060619711875916,50,converged,3.0056307315826416,4.973227402507277,5,13.113922991719804,True,2.057823657989502,0.10507844388484955,0.26540422439575195,198.97805786132812,198.87297941744328,1.8104238510131836,2.057823657989502,0.24739980697631836,0.037348274141550064
exp_10_75_03,10,0.75,3,0.4794119596481323,50,converged,2.9354794025421143,5.000000000000001,3,11.47217029660216,False,2.0674076080322266,0.09854070842266083,0.2525803744792938,160.6272430419922,160.52870233356953,1.6808277368545532,2.0674076080322266,0.38657987117767334,0.0569593571126461
exp_10_75_04,10,0.75,4,0.49331122636795044,50,converged,3.1389431953430176,4.999999999999999,4,12.373565734431924,True,2.0638177394866943,0.09800872951745987,0.2546766400337219,183.57839965820312,183.48039092868567,1.700053095817566,2.0638177394866943,0.3637646436691284,0.05359746515750885
exp_10_75_05,10,0.75,5,0.4847784638404846,50,converged,3.2782535552978516,5.0,3,11.011555814527155,False,2.069490432739258,0.08916831016540527,0.24137628078460693,174.11753845214844,174.02837014198303,1.5903337001800537,2.069490432739258,0.4791567325592041,0.0702759325504303
exp_10_75_06,10,0.75,6,0.4944516122341156,50,converged,2.8447909355163574,4.995125680170968,3,12.693528511238487,True,2.0616815090179443,0.10290324687957764,0.2712697386741638,181.45394897460938,181.3510457277298,1.7579768896102905,2.0616815090179443,0.3037046194076538,0.04516125097870827
exp_10_75_07,10,0.75,7,0.4861498177051544,50,converged,2.9801948070526123,4.999999999999999,3,11.802979418662808,True,2.0661139488220215,0.09711875021457672,0.2564206123352051,172.0687713623047,171.9716526120901,1.6762681007385254,2.0661139488220215,0.3898458480834961,0.05736507475376129
exp_10_75_08,10,0.75,8,0.48393309116363525,50,converged,2.921428680419922,5.000000000000001,3,11.785368294969217,True,2.0662660598754883,0.09831131994724274,0.2641756534576416,167.74195861816406,167.64364729821682,1.6854593753814697,2.0662660598754883,0.38080668449401855,0.05609545111656189
exp_10_75_09,10,0.75,9,0.4931351840496063,50,converged,2.868046760559082,5.000000000000001,4,11.347965400851825,False,2.06618070602417,0.09198211133480072,0.22015419602394104,186.46531677246094,186.37333466112614,1.6308269500732422,2.06618070602417,0.43535375595092773,0.06382455676794052
exp_10_75_10,10,0.75,10,0.47829344868659973,50,converged,2.982318162918091,5.0,3,9.962840187327448,False,2.073652505874634,0.08261711895465851,0.21320918202400208,167.07791137695312,166.99529425799847,1.5224143266677856,2.073652505874634,0.5512381792068481,0.08101295679807663
exp_10_100_01,10,1.0,1,0.5111876130104065,50,converged,2.9831907749176025,5.0,5,13.52513812038629,True,2.0542678833007812,0.10955467075109482,0.24728676676750183,210.44619750976562,210.33664283901453,1.9157675504684448,2.0542678833007812,0.13850033283233643,0.022747661918401718
exp_10_100_02,10,1.0,2,0.5048602819442749,50,converged,3.019716262817383,5.0,5,12.806507546587312,True,2.0565989017486572,0.10826180130243301,0.2494123876094818,197.75401306152344,197.645751260221,1.8667395114898682,2.0565989017486572,0.18985939025878906,0.029532311484217644
exp_10_100_03,10,1.0,3,0.5044119358062744,50,converged,2.8571650981903076,4.999999999999998,5,12.725252406030016,True,2.0570311546325684,0.10748632252216339,0.2493511140346527,197.56631469726562,197.45882837474346,1.8542283773422241,2.0570311546325684,0.20280277729034424,0.031268589198589325
exp_10_100_04,10,1.0,4,0.49828633666038513,50,converged,3.0996296405792236,5.0,5,13.272032199412015,True,2.057279348373413,0.11133898794651031,0.2528955340385437,181.1694793701172,181.05814038217068,1.879551887512207,2.057279348373413,0.17772746086120605,0.02796029858291149
exp_10_100_05,10,1.0,5,0.512134850025177,50,converged,2.870957612991333,5.000000000000002,5,14.31519440477846,True,2.0517327785491943,0.11523206532001495,0.24817562103271484,205.78515625,205.66992418467999,2.0062530040740967,2.0517327785491943,0.045479774475097656,0.011895096860826015
